package,source_go,kind,target_dart,phase,status,notes
ablation,ablation/ablation.go,impl,lib/core/agent/ref/ablation/ablation.dart,P1,done,ported R1
ablation,ablation/ablation_test.go,test,lib/core/agent/test/ref/ablation/ablation_test.dart,P1,done,ported R1
acp,acp/client_integration_test.go,test,lib/core/agent/test/ref/acp/client_integration_test.dart,P11,pending,
acp,acp/clientio.go,impl,lib/core/agent/ref/acp/clientio.dart,P11,pending,
acp,acp/dispatch.go,impl,lib/core/agent/ref/acp/dispatch.dart,P11,pending,
acp,acp/dispatch_extension_test.go,test,lib/core/agent/test/ref/acp/dispatch_extension_test.dart,P11,pending,
acp,acp/dispatch_partial_test.go,test,lib/core/agent/test/ref/acp/dispatch_partial_test.dart,P11,pending,
acp,acp/dispatch_test.go,test,lib/core/agent/test/ref/acp/dispatch_test.dart,P11,pending,
acp,acp/e2e_test.go,test,lib/core/agent/test/ref/acp/e2e_test.dart,P11,pending,
acp,acp/extension_models.go,impl,lib/core/agent/ref/acp/extension_models.dart,P11,pending,
acp,acp/extension_models_test.go,test,lib/core/agent/test/ref/acp/extension_models_test.dart,P11,pending,
acp,acp/inbox.go,impl,lib/core/agent/ref/acp/inbox.dart,P11,pending,
acp,acp/inbox_drain.go,impl,lib/core/agent/ref/acp/inbox_drain.dart,P11,pending,
acp,acp/inbox_drain_test.go,test,lib/core/agent/test/ref/acp/inbox_drain_test.dart,P11,pending,
acp,acp/live_test.go,test,lib/core/agent/test/ref/acp/live_test.dart,P11,pending,
acp,acp/prompt_result.go,impl,lib/core/agent/ref/acp/prompt_result.dart,P11,pending,
acp,acp/prompt_result_test.go,test,lib/core/agent/test/ref/acp/prompt_result_test.dart,P11,pending,
acp,acp/protocol.go,impl,lib/core/agent/ref/acp/protocol.dart,P11,pending,
acp,acp/protocol_test.go,test,lib/core/agent/test/ref/acp/protocol_test.dart,P11,pending,
acp,acp/readiness_gate_test.go,test,lib/core/agent/test/ref/acp/readiness_gate_test.dart,P11,pending,
acp,acp/reload_extensions_test.go,test,lib/core/agent/test/ref/acp/reload_extensions_test.dart,P11,pending,
acp,acp/role_switch_race_test.go,test,lib/core/agent/test/ref/acp/role_switch_race_test.dart,P11,pending,
acp,acp/server.go,impl,lib/core/agent/ref/acp/server.dart,P11,pending,
acp,acp/server_test.go,test,lib/core/agent/test/ref/acp/server_test.dart,P11,pending,
acp,acp/service.go,impl,lib/core/agent/ref/acp/service.dart,P11,pending,
acp,acp/service_lease_test.go,test,lib/core/agent/test/ref/acp/service_lease_test.dart,P11,pending,
acp,acp/service_lock_test.go,test,lib/core/agent/test/ref/acp/service_lock_test.dart,P11,pending,
acp,acp/session_files_test.go,test,lib/core/agent/test/ref/acp/session_files_test.dart,P11,pending,
acp,acp/session_write_authority.go,impl,lib/core/agent/ref/acp/session_write_authority.dart,P11,pending,
acp,acp/status.go,impl,lib/core/agent/ref/acp/status.dart,P11,pending,
acp,acp/status_test.go,test,lib/core/agent/test/ref/acp/status_test.dart,P11,pending,
acp,acp/status_text.go,impl,lib/core/agent/ref/acp/status_text.dart,P11,pending,
acp,acp/status_text_test.go,test,lib/core/agent/test/ref/acp/status_text_test.dart,P11,pending,
acp,acp/status_usage.go,impl,lib/core/agent/ref/acp/status_usage.dart,P11,pending,
acp,acp/stop_reason.go,impl,lib/core/agent/ref/acp/stop_reason.dart,P11,pending,
acp,acp/switch_recovery_test.go,test,lib/core/agent/test/ref/acp/switch_recovery_test.dart,P11,pending,
acp,acp/terminal_env_test.go,test,lib/core/agent/test/ref/acp/terminal_env_test.dart,P11,pending,
acp,acp/write_access_test.go,test,lib/core/agent/test/ref/acp/write_access_test.dart,P11,pending,
agent,agent/ablation_test.go,test,lib/core/agent/test/ref/agent/ablation_test.dart,P5,pending,
agent,agent/agent.go,impl,lib/core/agent/ref/agent/agent.dart,P5,pending,
agent,agent/agent_config.go,impl,lib/core/agent/ref/agent/agent_config.dart,P5,pending,
agent,agent/agent_config_test.go,test,lib/core/agent/test/ref/agent/agent_config_test.dart,P5,pending,
